"Athelete Name","Weight ","Height ","Gender ","Mean_Deviation_Stride","Vertical_upright_angle","Left_elbow","right_elbow"
"Usian Bolt ","95","194","M","0.0348","0.89","86.87","90.37"
"Tyson Gay","78","180","M","0.0291","1.01","84.12","92.12"
"Yohan Blake","78","185","M","0.0133","0.7","94.4","87.7"
"Asafa Powell","88","191","M","0.0237","2.07","77.07","93.26"
"Justin Gatlin","83","185","M","0.0821","1.3","85.67","96.72"
"Christian Coleman","73","175","M","0.02386","2.53","73.64","93.21"
"Trayvon Bromell","73","175","M","0.034","1.23","80.12","87.37"
"Fred Kerley","80","173","M","0.0201","1.7","81.43","89.21"
"Maurice Greene","80","175","M","0.031","2.12","83.12","87.42"
"Noah Lyles ","81","188","M","0.0312","1.42","85.123","89.092"
"Donovan Balley","85","185","M","0.0134","1.45","81.42","91.32"
"Bruny Surin","82","185","M","0.034","1.42","84.14","87.023"
"Ronnie Baker","75","183","M","0.0723","0.94","83.12","91.75"
"Akani SIMBINE","74","185","M","0.021","1.23","84.54","91.08"
"Leroy BURRELL","78","183","M","0.032","0.978","82.12","87.34"
"Olusoji Adetokunbo FASUBA","75","180","M","0.0431","1.052","84.75","89.746"
"Michael RODGERS","75","170","M","0.045","2.0401","79.34","84.38"
"Marvin BRACY","77","175","M","0.083","2.0052","85.094","84.59"
"Shelly-Ann Fraser-Pryce","56","152","F","0.0633","2.8075","86.53","86.24"
"Elaine Thompson-Herah","61","170","F","0.052","1.2","79.956","90.574"
"Carmelita Jeter","66","163","F","0.0625","1.074","81.065","87.72"
"Florence Griffith-Joyner","56","170","F","0.0622","2.42","85.746","83.286"
"Veronica Campbell-Brown","63","175","F","0.0551","1.453","83.245","91.574"
"Marion Jones","68","178","F","0.053","1.7","87.07","87.071"
"Catherine Ibargüen","64","175","F","0.031","2.012","84.13","79.98"
"Alysia Montaño","64","173","F","0.063","2.1074","81.626","91.74"
"Allyson Felix","59","168","F","0.0612","1.9","84.64","87.063"
